id,source_system,employee_number,name,date_joined,email,whatsapp,company,division,department,position,placement,level,manager_functional,manager_operational,employee_status,status,created_at,updated_at
1,HRIS,EMP1001,Direktur Utama,2018-01-02,direktur@wiscore.id,81234501001,PT Wismilak Inti Makmur,General,General,Direktur Utama,Surabaya,Direktur,-,-,PKWTT,Aktif,2026-05-05 16:55:46,2026-05-05 16:55:46
2,HRIS,EMP1002,PCX Manager,2021-07-12,pcx@wiscore.id,81234501002,PT Gelora Djaja,Human Resource,"People, Culture and Experiences",Manager,Surabaya,Manager,Direktur Utama,Manager User,PKWTT,Aktif,2026-05-05 16:55:46,2026-05-05 16:55:46
3,HRIS,EMP1003,Intercomm User,2021-07-12,intercomm@wiscore.id,81234501003,PT Gelora Djaja,Human Resource,"People, Culture and Experiences",Internal Communication Specialist,Surabaya,Supervisor,Manager User,PCX Manager,PKWTT,Aktif,2026-05-05 16:55:46,2026-05-05 16:55:46
4,HRIS,EMP1004,Manager User,2020-02-17,manager@wiscore.id,81234501004,PT Wismilak Inti Makmur,Human Resource,General,General Manager,Surabaya,Manager,Direktur Utama,Direktur Utama,PKWTT,Aktif,2026-05-05 16:55:46,2026-05-05 16:55:46
5,HRIS,EMP1005,Employee User,2024-01-10,employee@wiscore.id,81234501005,PT Gawih Djaja,Information Technology,Webapp Dev,Web Junior Developer,Surabaya,Staff,Fajar Nugroho,Developer,PKWT,Aktif,2026-05-05 16:55:46,2026-05-05 16:55:46
6,HRIS,EMP1006,Developer,2022-09-05,dev@wiscore.id,81234501006,PT Gawih Djaja,Information Technology,Webapp Dev,Webapp Developer Manager,Surabaya,Manager,Direktur Utama,Fajar Nugroho,PKWTT,Aktif,2026-05-05 16:55:46,2026-05-05 16:55:46
7,HRIS,EMP2001,Fajar Nugroho,2020-03-09,fajar@wiscore.id,81234501007,PT Wismilak Inti Makmur,Information Technology,General,General Manager,Surabaya,Manager,Direktur Utama,Direktur Utama,PKWTT,Aktif,2026-05-05 16:55:46,2026-05-05 16:55:46
8,HRIS,EMP2002,Rina Marlina,2021-08-03,rina@wiscore.id,81234501008,PT Gelora Djaja,Human Resource,"People, Culture and Experiences",HR Bussiness Partner Staf,Surabaya,Staff,Manager User,PCX Manager,PKWTT,Aktif,2026-05-05 16:55:46,2026-05-05 16:55:46
9,HRIS,EMP2003,Agung Prasetyo,2021-09-14,agung@wiscore.id,81234501009,PT Gawih Djaja,Human Resource,C&B and HRIS,C&B and HRIS Manager,Surabaya,Manager,Direktur Utama,Manager User,PKWTT,Aktif,2026-05-05 16:55:46,2026-05-05 16:55:46
10,HRIS,EMP2004,Tasya Handayani,2021-10-11,tasya@wiscore.id,81234501010,PT Gawih Djaja,Human Resource,C&B and HRIS,Employee Assurance Supervisor,Surabaya,Supervisor,Manager User,Agung Prasetyo,PKWTT,Aktif,2026-05-05 16:55:46,2026-05-05 16:55:46
11,HRIS,EMP2005,Rizal Maulana,2022-01-05,rizal@wiscore.id,81234501011,PT Gawih Djaja,Human Resource,C&B and HRIS,HRIS Maintenance Staff,Surabaya,Staff,Manager User,Agung Prasetyo,PKWT,Aktif,2026-05-05 16:55:46,2026-05-05 16:55:46
12,HRIS,EMP2006,Nanda Saputra,2022-02-07,nanda@wiscore.id,81234501012,PT Gelora Djaja,Human Resource,Recruitment,Recruitment Manager,Surabaya,Manager,Direktur Utama,Manager User,PKWTT,Aktif,2026-05-05 16:55:46,2026-05-05 16:55:46
13,HRIS,EMP2007,Putri Maharani,2022-03-14,putri@wiscore.id,81234501013,PT Gelora Djaja,Human Resource,Recruitment,Regional Supervisor,Surabaya,Supervisor,Manager User,Nanda Saputra,PKWTT,Aktif,2026-05-05 16:55:46,2026-05-05 16:55:46
14,HRIS,EMP2008,Bima Adityawan,2022-04-11,bima@wiscore.id,81234501014,PT Gelora Djaja,Human Resource,Recruitment,Recruitment Staff,Surabaya,Staff,Manager User,Nanda Saputra,PKWT,Aktif,2026-05-05 16:55:46,2026-05-05 16:55:46
15,HRIS,EMP2009,Maya Dwi Lestari,2022-01-18,maya@wiscore.id,81234501015,PT Gelora Djaja,Information Technology,Technical Support,TS Manager,Surabaya,Manager,Direktur Utama,Fajar Nugroho,PKWTT,Aktif,2026-05-05 16:55:46,2026-05-05 16:55:46
16,HRIS,EMP2010,Yusuf Hidayat,2022-02-21,yusuf@wiscore.id,81234501016,PT Gelora Djaja,Information Technology,Technical Support,Technical Support,Surabaya,Supervisor,Fajar Nugroho,Maya Dwi Lestari,PKWTT,Aktif,2026-05-05 16:55:46,2026-05-05 16:55:46
17,HRIS,EMP2011,Intan Maharani,2022-03-15,intan@wiscore.id,81234501017,PT Gawih Djaja,Information Technology,IT - SAP,SAP Manager,Surabaya,Manager,Direktur Utama,Fajar Nugroho,PKWTT,Aktif,2026-05-05 16:55:46,2026-05-05 16:55:46
18,HRIS,EMP2012,Deni Kurniawan,2022-05-11,deni@wiscore.id,81234501018,PT Gawih Djaja,Information Technology,IT - SAP,SAP Production,Surabaya,Staff,Fajar Nugroho,Intan Maharani,PKWT,Aktif,2026-05-05 16:55:46,2026-05-05 16:55:46
19,HRIS,EMP2013,Ardiansyah Putra,2022-06-20,ardiansyah@wiscore.id,81234501019,PT Wismilak Inti Makmur,Human Resource,General,HRGA Specialist,Surabaya,Staff,Direktur Utama,Manager User,PKWTT,Aktif,2026-05-05 16:55:46,2026-05-05 16:55:46
20,HRIS,EMP2015,Nabila Rahmawati,2021-06-14,nabila@wiscore.id,81234501021,PT Wismilak Inti Makmur,Human Resource,General,Sekretaris HR,Surabaya,Supervisor,Direktur Utama,Manager User,PKWTT,Aktif,2026-05-05 16:55:46,2026-05-05 16:55:46
21,HRIS,EMP2016,Ahnaf Fathan,2023-07-08,ahnaf@wiscore.id,81234234509,PT Wismilak Inti Makmur,Information Technology,General,Network and Hardware Mainteance,Surabaya,Supervisor,Direktur Utama,Fajar Nugroho,PKWTT,,,
22,HRIS,EMP2017,Regina Dwi,2022-10-30,regina@wiscore.id,89759976188,PT Wismilak Inti Makmur,Information Technology,General,IT Quality Audit,Surabaya,Staff,Direktur Utama,Fajar Nugroho,PKWT,,,
23,HRMS,OUT1001,Rifaldi Fathur,2023-04-03,rifaldi@wiscore.id,89765384728,PT Outsourcing Globalindo,FAT,Factory Production,Production Staff,Surabaya,Mingguan,-,-,OS,,,
24,HRMS,OUT1002,Jessie Agustina,2022-11-15,jessie@wiscore.id,87579075290,PT Outsourcing Globalindo,FAT,Accounting Purchase,Cashflow Management Assisten,Surabaya,Harian,-,-,OS,,,
25,HRMS,OUT1003,Mardi Susanto,2023-01-10,mardi@wiscore.id,81234601001,PT Outsourcing Globalindo,FAT,Tax Record,Tax Management Staff,Surabaya,Borongan,-,-,OS,Aktif,2026-05-05 16:55:46,2026-05-05 16:55:46
